throughput, loss, CPU host, CPU remote, streams, country, connection, client, IP, time, streams, verbose, json,,,
3.21,0.189784,0.0461,2.9243,1.0189,1,Germany,Wireless,'-c,'134.209.227.237,'-t10,'-P1,'-V,'-J,'-O-O
6.13,0.469720,0.0595,2.4257,1.7442,1,Germany,Wireless,'-c,'134.209.227.237,'-t10,'-P1,'-V,'-J,'-O-O
8.29,0.592592,0.0556,4.8738,2.4337,1,Germany,Wireless,'-c,'134.209.227.237,'-t10,'-P1,'-V,'-J,'-O-O
3.37,0.250192,0.0576,1.9326,0.9811,1,Germany,Wireless,'-c,'134.209.227.237,'-t10,'-P1,'-V,'-J,'-O-O
2.28,0.260616,0.0873,4.7246,0.8299,1,Germany,Wireless,'-c,'134.209.227.237,'-t10,'-P1,'-V,'-J,'-O-O
5.91,0.743968,0.0491,1.3946,0.1197,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O
1.21,1.039300,0.2940,0.9915,0.3257,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O
7.55,0.452432,0.0237,2.6402,2.1692,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O
5.28,0.885728,0.0649,1.2734,1.4534,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O
2.20,0.084736,0.0153,1.6383,0.5632,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O
2.26,0.992688,0.1614,4.1384,0.5224,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O
2.89,0.289424,0.0393,1.9197,0.7306,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O
1.87,0.123176,0.0261,1.0976,0.6588,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O
6.72,0.249152,0.0147,1.5899,1.7449,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O
6.12,0.326152,0.0211,1.5471,1.9052,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O
9.04,0.557824,0.0244,1.8269,2.4327,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O
1.21,0.087592,0.0286,0.8841,0.3094,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O
6.77,0.055776,0.0033,1.2682,1.0691,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O
11.70,0.441392,0.0150,1.8079,1.6284,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O
7.42,0.106336,0.0057,1.7859,1.3014,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O
4.90,0.144856,0.0118,1.7117,1.2833,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O
12.21,0.257400,0.0084,1.6039,2.1837,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O
14.46,0.000000,0.0000,2.7262,2.6941,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O
18.31,0.328504,0.0071,2.0694,3.8772,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O
6.48,0.146304,0.0090,1.2424,1.9563,1,Germany,Wireless,'-c,'134.209.227.237,'-t20,'-P1,'-V,'-J,'-O-O
